TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1005714739	AT2G37840	AT2G37840.2	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, autophagosome assembly, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, nucleus, petal, petal differentiation and expansion stage, petiole, phagophore assembly site, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein autophosphorylation, protein serine/threonine kinase activity, regulation of autophagy, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1009021033	AT1G08680	AT1G08680.3	protein_coding	A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes. AGD14 belongs to the class 4, together with AGD15.	ARF GAP-LIKE ZINC FINGER-CONTAINING PROTEIN ZIGA4; ZIGA4	 nucleus, plasma membrane, cultured plant cell, GTPase activator activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein autophosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1009021216	AT1G10940	AT1G10940.2	protein_coding	Encodes a plant protein kinase similar to the calcium/calmodulin-dependent protein kinase subfamily and the SNF1 kinase subfamily (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Kinase activity of its homolog in tobacco is induced by hyperosmotic condition within 1 minute.	ARABIDOPSIS SERINE/THREONINE KINASE 1; ASK1; SNF1-RELATED PROTEIN KINASE 2.4; SNRK2-4; SNRK2.4; SRK2A; SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-4	 plasma membrane, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, membrane, nucleus, petal, petal differentiation and expansion stage, petiole, phosphatidic acid binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, primary root development, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to abscisic acid, response to osmotic stress, response to salt stress, root, rosette leaf, seed, seed dormant stage, seedling development stage, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1009022442	AT5G35980	AT5G35980.2	protein_coding	Encodes a dual specificity protein kinase which phosphorylates substract proteins on Ser/Thr and Tyr residues.  Some substrates include annexin family proteins.	YAK1; YEAST YAK1-RELATED GENE 1	 cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, positive regulation of abscisic acid-activated signaling pathway, protein autophosphorylation, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, protein serine/threonine/tyrosine kinase activity, protein tyrosine kinase activity, response to abscisic acid, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:4515100787	AT1G53430	AT1G53430.2	protein_coding	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)	NEMATODE-INDUCED LRR-RLK 2; NILR2	 plasma membrane, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein autophosphorylation, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:4515102410	AT5G58300	AT5G58300.2	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 plasma membrane, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, protein kinase activity, protein phosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:5019474018	AT1G61360	AT1G61360.2	protein_coding	S-locus lectin protein kinase family protein;(source:Araport11)		 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carbohydrate binding, cauline leaf, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, recognition of pollen, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:6530297281	AT3G59410	AT3G59410.2	protein_coding	Encodes an eIF2alpha kinase that can bind uncharged tRNA via its C-terminus and can phosphorylate both eIF2alpha homologues in Arabidopsis.	ARABIDOPSIS THALIANA GENERAL CONTROL NON-REPRESSIBLE 2; ATGCN2; GCN2; GENERAL CONTROL NON-REPRESSIBLE 2	 nucleus, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytosolic ribosome, eukaryotic translation initiation factor 2alpha kinase activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, protein kinase activity, protein phosphorylation, regulation of cellular amino acid metabolic process, response to herbicide, root, seed, sepal, shoot apex, shoot system, stamen, tRNA binding, translation, vascular leaf, vascular leaf senescent stage	true
Gene:6530297475	AT4G21940	AT4G21940.2	protein_coding	member of Calcium Dependent Protein Kinase	CALCIUM-DEPENDENT PROTEIN KINASE 15; CPK15	 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, abscisic acid-activated signaling pathway, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, membrane, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein autophosphorylation, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:6029979756	SCAFFOLD_101915.1	SCAFFOLD_101915.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030129856	AL_SCAFFOLD_0006_3427	AL_SCAFFOLD_0006_3427.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:5019474036	AT1G67580	AT1G67580.2	protein_coding	Protein kinase superfamily protein;(source:Araport11)	CDKG2; CYCLIN-DEPENDENT KINASE G2	 nucleus, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, anther, carpel, cauline leaf, cellular response to salt stress, collective leaf structure, cotyledon, cultured plant cell, cyclin-dependent protein serine/threonine kinase activity, cytosol, filament, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, leaf vascular system, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, protein binding, protein phosphorylation, regulation of long-day photoperiodism, flowering, root, seed, sepal, shoot apex, shoot system, stamen, stigma, style, vascular leaf, vascular leaf senescent stage	true
Gene:6530296172	AT1G16260	AT1G16260.2	protein_coding	Wall-associated kinase family protein;(source:Araport11)		 extracellular region, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion binding, cauline leaf, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, polysaccharide binding, protein phosphorylation, protein serine/threonine kinase activity, root hair cell, seed, sepal, shoot apex, shoot system, stamen, trichoblast, vascular leaf, vascular leaf senescent stage	true
Gene:6030109983	FGENESH2_KG.6__687__AT5G07280.1	FGENESH2_KG.6__687__AT5G07280.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030129058	AL_SCAFFOLD_0006_3320	AL_SCAFFOLD_0006_3320.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030023111	FGENESH2_KG.2__2021__AT1G77280.1	FGENESH2_KG.2__2021__AT1G77280.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, response to stress, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to stress, transferase activity, transferring phosphorus-containing groups	false
Gene:6030101233	SCAFFOLD_503049.1	SCAFFOLD_503049.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6029983049	FGENESH2_KG.1__2349__AT1G21590.1	FGENESH2_KG.1__2349__AT1G21590.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, response to stress, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to stress, transferase activity, transferring phosphorus-containing groups	false
Gene:6030024986	FGENESH2_KG.2__2287__AT1G80870.1	FGENESH2_KG.2__2287__AT1G80870.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:2129649	AT4G14350	AT4G14350.1	protein_coding	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein;(source:Araport11)		 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, petiole, phragmoplast, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2133528	AT4G08470	AT4G08470.1	protein_coding	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19).  Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301.	MAPK/ERK KINASE KINASE 3; MAPKKK10; MEKK3	 cytoplasm, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase kinase kinase activity, activation of protein kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, signal transduction by protein phosphorylation, stamen, stress-activated protein kinase signaling cascade, vascular leaf, vascular leaf senescent stage	true
Gene:2137143	AT4G04500	AT4G04500.1	protein_coding	Encodes a cysteine-rich receptor-like protein kinase.	CRK37; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 37	 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, pollen, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, stamen, vascular leaf, vascular leaf senescent stage	false
Gene:2138876	AT4G04700	AT4G04700.1	protein_coding	member of Calcium Dependent Protein Kinase	CALCIUM-DEPENDENT PROTEIN KINASE 27; CPK27	 plasma membrane, ATP binding, abscisic acid-activated signaling pathway, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, cytoplasm, cytosol, guard cell, intracellular signal transduction, nucleus, peptidyl-serine phosphorylation, plasma membrane, protein autophosphorylation	false
Gene:2142498	AT5G10530	AT5G10530.1	protein_coding	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)	L-TYPE LECTIN RECEPTOR KINASE IX.1; LECRK-IX.1	 extracellular region, ATP binding, carbohydrate binding, defense response, defense response to bacterium, defense response to oomycetes, extracellular region, guard cell, integral component of membrane, kinase activity, plasma membrane, positive regulation of cell death, positive regulation of hydrogen peroxide metabolic process, protein binding, protein phosphorylation, root, transmembrane receptor protein serine/threonine kinase activity	true
Gene:2183719	AT5G10930	AT5G10930.1	protein_coding	Encodes CBL-interacting protein kinase 5 (CIPK5).	CBL-INTERACTING PROTEIN KINASE 5; CIPK5; SNF1-RELATED PROTEIN KINASE 3.24; SNRK3.24	 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, signal transduction, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2198997	AT1G80640	AT1G80640.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 chloroplast, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein phosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:2827633	AT2G17090	AT2G17090.1	protein_coding	Encodes a N-myrystolylated plasma membrane associated member of the RLCK II family of IRAK/Pelle-like kinases that regulates the  MAPK pathway that promotes the elongation of the Arabidopsis zygote and the development of its basal daughter cell into the extra-embryonic suspensor.  SSP transcripts are produced in mature pollen but are not translated until delivery to the zygote and the endosperm after fertilization, exerting a paternal effect on embryonic development.  The primary role of its kinase domain may lie in protein binding rather than in catalysis as key residues of the active site are absent.	BRASSINOSTEROID-SIGNALING KINASE 12; BSK12; SHORT SUSPENSOR; SSP	 nucleus, ATP binding, M germinated pollen stage, brassinosteroid mediated signaling pathway, cytoplasmic side of plasma membrane, micropylar endosperm, nucleus, plant sperm cell, plant zygote, pollen, pollen tube cell, positive regulation of intracellular signal transduction, protein binding, protein phosphorylation, protein serine/threonine kinase activity, suspensor development, zygote elongation	false
Gene:3442480	AT5G40030	AT5G40030.1	protein_coding	Member of AGC VIIIa Kinase gene family.	AGC VIIIA KINASE 1-4; AGC1-4; PAX-LIKE; PAXL	 chloroplast, ATP binding, chloroplast, cytoplasm, flower, kinase activity, mature plant embryo stage, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, protein binding, protein phosphorylation, protein serine/threonine kinase activity, root, seed, shoot apex	false
Gene:1005713791	AT5G03730	AT5G03730.2	protein_coding	Homologous to the RAF family of serine/threonine protein kinases. Negative regulator in the ethylene signal transduction pathway. Interacts with the putative ethylene receptors ETR1 and ERS. Constitutively expressed.	ATCTR1; CONSTITUTIVE TRIPLE RESPONSE 1; CTR1; SIS1; SUGAR-INSENSITIVE 1	 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to iron ion, collective leaf structure, cotyledon, endoplasmic reticulum membrane, ethylene-activated signaling pathway, flower, flower pedicel, flowering stage, gibberellin biosynthetic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of ethylene-activated signaling pathway, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein autophosphorylation, protein binding, protein serine/threonine kinase activity, protein serine/threonine/tyrosine kinase activity, regulation of post-embryonic root development, regulation of stem cell division, regulation of timing of transition from vegetative to reproductive phase, response to ethylene, response to fructose, response to hypoxia, response to sucrose, root, seed, sepal, shoot apex, shoot system, stamen, sugar mediated signaling pathway, vascular leaf, vascular leaf senescent stage	true
Gene:1005713808	AT5G21222	AT5G21222.1	protein_coding	protein kinase family protein;(source:Araport11)		 mitochondrion, ATP binding, guard cell, mitochondrion, plastid, protein kinase activity, protein phosphorylation, rosette leaf	true
Gene:1005714958	AT2G23450	AT2G23450.2	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:1009021714	AT3G57760	AT3G57760.2	protein_coding	Protein kinase superfamily protein;(source:Araport11)	ZRK6	 nucleus, ATP binding, carpel, collective leaf structure, flowering stage, guard cell, nucleus, petal differentiation and expansion stage, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, root, sepal, stamen	true
Gene:6030022411	AL_SCAFFOLD_0002_2333	AL_SCAFFOLD_0002_2333.1	protein_coding			 nucleus, regulation of cyclin-dependent protein serine/threonine kinase activity, protein kinase binding, regulation of cell cycle, nucleus, protein kinase binding, regulation of cell cycle, regulation of cyclin-dependent protein serine/threonine kinase activity	false
Gene:6030024335	AL_SCAFFOLD_0002_2605	AL_SCAFFOLD_0002_2605.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, response to stress, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to stress, transferase activity, transferring phosphorus-containing groups	false
Gene:6030090237	SCAFFOLD_501398.1	SCAFFOLD_501398.1.1	protein_coding			 ATP binding, binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030115968	SCAFFOLD_601605.1	SCAFFOLD_601605.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6029974899	FGENESH2_KG.1__1193__AT1G11050.1	FGENESH2_KG.1__1193__AT1G11050.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6029976138	FGENESH2_KG.1__1361__AT1G12580.1	FGENESH2_KG.1__1361__AT1G12580.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030132711	SCAFFOLD_604086.1	SCAFFOLD_604086.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030122709	AL_SCAFFOLD_0006_2411	AL_SCAFFOLD_0006_2411.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, signal transduction, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, signal transduction, transferase activity, transferring phosphorus-containing groups	false
Gene:6030074096	FGENESH2_KG.4__2115__AT2G40120.1	FGENESH2_KG.4__2115__AT2G40120.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030007355	FGENESH2_KG.2__274__AT1G61860.1	FGENESH2_KG.2__274__AT1G61860.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
